cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
442	209.09224074927027	1.4456205	0	2443908.85	4076624.8	3003991.0999999996	2900590.3	2964808.375	0	2731393.175	2736999.175	2913159.875	2931746.4
443	487.1835142656464	1.4486859	0	2434116.65	3373787.0	2428423.3	2041561.4	2756343.0	0	2521202.6	1840211.025	2677190.5	2621840.2249999996
444	243.15798804206327	1.3758638	0	3402226.45	0.0	3789920.35	3810910.95	3779376.9000000004	0	3557907.175	3655699.175	3948281.6	3620546.7
445	200.1111001464902	1.4430428	0	4460619.825	5070917.5	4471359.5	4607039.325	4159670.625	0	4521562.375	4242543.45	4336901.25	4597682.2
446	239.13667120509444	1.4524369	0	0.0	8798413.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
447	345.213358245901	1.4493486	0	2316252.075	5732125.5	3904474.85	4107397.35	3917052.175	0	3432004.175	3342313.4000000004	3804122.05	3666736.825
448	267.1413243732478	1.436779	0	2369239.175	3388938.5	0.0	0.0	0.0	0	555816.0	502453.975	691605.0	619364.2
449	312.16101914439645	1.454383	0	6131650.875	7870553.0	6221272.25	6542308.625	6593820.75	0	6313993.125	6205234.875	6350809.25	6619015.25
450	279.133966246757	1.4584628	0	6579346.25	48601870.0	1131636.725	0.0	2589818.725	0	4206588.6	2565464.575	2157849.5	1370899.025
451	454.302609898682	1.4632232	0	4241567.675	1195115.0	3371841.0	3060644.3	3693315.225	0	3983771.95	3657159.925	3416162.05	3310274.2750000004
452	280.13738159403243	1.4544907	0	742513.925	7546662.5	0.0	0.0	0.0	0	467356.625	275157.3	0.0	0.0
453	489.23055604307007	1.4605937	0	2731701.85	3298313.2	2381920.425	2717386.7	2613939.5	0	2623494.0250000004	2387111.45	2839261.725	2595081.275
454	267.13406863402673	1.5083818	0	264279.85	11665574.0	301669.8	0.0	279262.375	0	0.0	0.0	845212.0249999999	0.0
455	160.07581448756247	1.4719013	0	8457216.75	0.0	5702634.25	6035065.75	6037408.5	0	6839355.25	6485009.75	6599883.5	6308076.75
456	327.68214175543886	1.4752346	0	8842085.25	11990964.0	6306452.75	6969808.25	6565502.5	0	7181592.375	6703091.875	7883463.625	6915700.875
457	306.165982965306	1.4792256	0	5000824.125	6901347.0	4983221.25	4951257.125	5098091.75	0	5067563.5	4614488.5	5339126.25	5012216.0
458	275.155258392236	1.4879667	0	8293104.875	15479216.0	9461595.25	9361185.75	9619416.25	0	8551065.625	8586250.5	10206235.25	9391750.75
459	334.160926378208	1.4883924	0	10287610.25	13738609.0	10755549.75	10164378.25	10883921.0	0	10546866.5	9826682.75	11269530.5	10448379.5
460	318.1659385595968	1.490447	0	4922404.5	6503838.0	5333175.5	4987512.875	5175629.625	0	5187973.5	4781399.0	5289138.0	5160212.0
461	477.1652602665899	1.4940351	0	3557567.95	3759025.2	3961879.2249999996	3597180.15	3854757.15	0	3796407.9749999996	3563638.025	3882414.525	3728923.95
462	347.19240155537346	1.4978737	0	49144789.8	4326919.5	3095251.3499999996	2719155.925	2975104.75	0	24973508.0	2631938.425	2882814.7	27446040.7
463	215.1392155528991	1.5509362	0	3882015.375	37008824.0	2110918.9	1554653.625	3016284.7	0	3131173.625	2517781.85	2380359.75	2534557.375
464	385.2195953155317	1.5063884	0	4781705.5	5953558.0	5217201.25	4625487.625	4821070.0	0	4985711.25	4805331.625	4994441.0	4659980.5
465	276.1556561725592	1.5062846	0	7154497.0	9372269.0	8155481.25	7169507.5	7896194.625	0	7813690.375	7573562.625	7787236.0	7201191.375
466	315.18460423137753	1.5088099	0	7488957.25	7269021.5	10075485.75	9733709.75	9291721.375	0	9369713.75	8957057.25	9315733.5	8947369.625
467	265.0795825594601	1.5160336	0	12051958.5	0.0	1920083.425	2009903.725	2443251.35	0	5019512.025	4834468.625	4685812.1	3885404.25
468	127.05037051009072	1.5159862	0	12485071.75	0.0	1763915.0	1914988.1749999998	1629429.9249999998	0	4422325.55	3998501.675	4954752.15	4417825.475
469	341.21854682748506	1.517225	0	32815909.5	24316750.0	34216010.5	35533753.0	31625803.0	0	32981881.5	33467355.0	35054842.0	32687397.5
470	263.1735693917688	1.5184441	0	18385613.25	14464860.0	19664924.0	19954049.0	19360800.5	0	19477910.25	19544661.0	19623176.5	18719639.0
471	157.13367662706213	1.5185287	0	3698100.0	0.0	3994791.075	4143562.875	3636868.3	0	3831303.55	3849842.375	4038350.4	3753825.925
472	604.2102333198378	1.5197114	0	8352671.875	2838758.5	6438922.75	8367004.625	6021454.625	0	6788721.875	7514221.625	7291265.5	7585844.875
473	525.3401358589934	1.5212914	0	26806689.5	61070730.0	31426375.5	29187760.5	31116005.0	0	29957374.5	30408399.5	30107611.5	28063445.0
474	452.211786546937	1.5232946	0	4367261.25	6058106.0	4480568.575	4964767.825	4742543.425	0	5572294.5	4354296.45	4486649.125	4141901.0
475	188.0683228777806	1.5241033	0	1125526.65	17752546.0	3185165.05	587869.95	4989274.375	0	3106526.475	2617332.925	2188327.075	1975649.5499999998
476	430.2299467623405	1.5233111	0	33974994.5	26486880.0	35440131.5	37505508.5	35811143.5	0	37182095.0	35707562.5	35702121.5	34139999.0
477	149.05985944628804	1.5245967	0	1981961.975	28035108.0	5260042.725	870565.5	8175646.0	0	4797158.6	4764876.0	3638301.625	3087879.975
478	389.2028553063122	1.5196563	0	1637700.475	2726067.2	7416044.125	7782999.375	7386038.0	0	6270190.175	5778637.65	6242661.375	5931292.775
479	131.04932754433833	1.5255877	0	1811399.75	26536180.0	4958331.025	834454.5	7556805.5	0	4651955.25	4273881.625	3331817.625	2903336.275
480	441.187192370838	1.5294017	0	5646970.55	0.0	1522441.075	377016.225	3140160.575	0	3085549.25	4584306.325	2110328.75	906404.1
481	316.14152712189565	1.5277448	0	8771658.625	2621485.0	6487710.875	8877852.25	5664168.5	0	7452409.75	7122218.25	7820290.375	7406471.875
482	120.08105311508557	1.5280931	0	94886821.0	1359339400.0	230041207.5	55333420.625	360975137.5	0	224165891.5	208822804.0	172006806.125	136241085.0
483	166.08638667506267	1.5285	0	180706147.25	2317260500.0	430831795.0	98623067.5	664445092.5	0	408066742.5	393850226.0	313211830.5	259477303.25
484	631.2762706744537	1.5285246	0	28829154.5	34914000.0	24322914.0	26797408.5	26440101.0	0	27130266.0	26199573.5	27615667.5	25444071.0
485	348.1767056439612	1.52889	0	5599305.375	5397711.5	5696101.375	6725333.125	5868384.0	0	6001896.25	5779361.625	6270035.25	5837830.75
