cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:1F12	ATTRIBUTE_group:GNPSGROUP:Control_LB	ATTRIBUTE_group:GNPSGROUP:phzC	ATTRIBUTE_group:GNPSGROUP:pvdE	ATTRIBUTE_group:GNPSGROUP:R47	ATTRIBUTE_replicate:GNPSGROUP:nan	ATTRIBUTE_replicate:GNPSGROUP:1.0	ATTRIBUTE_replicate:GNPSGROUP:2.0	ATTRIBUTE_replicate:GNPSGROUP:3.0	ATTRIBUTE_replicate:GNPSGROUP:4.0
1407	343.19762849874155	6.079337	0	17540209.0	2844817.8	23347954.5	20924851.5	23484244.0	0	21045468.0	21110865.0	20708631.75	22432294.25
1408	129.06601797426418	6.079764	0	31969125.0	61701916.0	112313325.0	114270897.5	128918551.5	0	108423389.0	89648166.0	89350953.5	100049390.5
1409	147.0223075317707	6.0848813	0	11519267.625	0.0	45083772.0	39578328.5	41355208.5	0	23008499.5	24810812.75	34928240.0	54789024.375
1410	459.18545217037615	6.0865273	0	6407619.875	5894191.0	23467535.5	23365459.0	20801290.5	0	17248768.75	17410653.25	18609782.25	20772700.625
1411	325.14829281954144	6.0888567	0	18211513.25	25783672.0	18740824.0	17594728.25	19256749.0	0	18460759.75	18501603.5	18158068.25	18683383.0
1412	303.1663514839414	6.0901113	0	41316179.0	44457508.0	41067119.0	39194595.5	42951627.5	0	40942947.5	41589417.0	40288663.5	41708493.0
1413	437.2033388335012	6.1004033	0	14028235.75	12776678.0	51203935.5	46887448.5	46566943.0	0	38722466.25	38214147.25	40230604.0	41519345.25
1414	245.11328190321456	6.1028914	0	24408308.5	92043490.0	86438276.5	9431664.45	88074468.5	0	68363703.25	55353115.0	46608808.2	38027091.5
1415	291.66594015950125	6.1031036	0	4387895.625	4711344.5	5943456.0	5312515.375	5452827.0	0	5172163.75	5356019.625	5214709.625	5353801.0
1416	274.17617892786257	6.1035824	0	1227371.75	0.0	5746054.0	6695789.125	4466831.0	0	3997862.875	4516485.9	4318033.6	5303663.5
1417	630.3250355130813	6.105817	0	33185530.5	31449030.0	30642352.5	28855646.5	29786662.5	0	31182378.5	29838994.0	29855971.5	31592848.0
1418	306.1658868218338	6.106568	0	7867205.125	13422639.0	5100804.875	4342867.7	4890350.875	0	5806082.75	5224334.75	5853523.95	5317287.125
1419	328.1479400249895	6.121943	0	2851915.65	6674277.0	2671341.375	1967252.5750000002	2111515.25	0	2212436.15	2153584.8	2744499.7	2491504.2
1420	582.3252254916031	6.1092315	0	166132495.0	198577280.0	210934342.5	185654060.0	193087395.0	0	194722835.0	186576292.5	178846482.5	195662682.5
1421	652.307174810032	6.1124687	0	3801443.75	5373363.0	4453900.125	4278240.5	3929315.45	0	4164171.55	3999902.45	3919754.2	4379071.625
1422	626.2891285540128	6.1128454	0	2446934.275	5578160.0	4725302.2	4154848.075	3849719.0	0	3919756.95	3646087.7249999996	3490859.45	4120099.425
1423	604.306923176163	6.117299	0	21875991.0	43683236.0	38701299.0	33824473.5	31803493.5	0	30892262.5	29772350.0	30522419.5	35018225.0
1424	562.2732021499431	6.1210237	0	7521835.375	8673494.0	0.0	0.0	0.0	0	2220072.25	1870302.875	1914588.25	1516872.0
1425	334.1431116519334	6.1232905	0	5229736.925	8551687.0	10053107.375	8934055.5	8181991.0	0	8255974.125	7226417.3	8592841.625	8323657.75
1426	718.3626141619711	6.1264925	0	8778309.375	8648501.0	10383734.5	9458059.75	9180209.0	0	9337935.75	9011894.0	9811688.25	9638794.625
1427	283.12893898481866	6.1326966	0	0.0	5549789.5	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
1428	561.2896186759917	6.1321907	0	328423.025	8559768.0	0.0	0.0	0.0	0	328423.025	0.0	0.0	0.0
1429	286.15098999848453	6.132846	0	18429685.5	12222538.0	16059615.75	15667302.5	14428656.75	0	15845055.25	15630710.5	16791199.0	16318295.75
1430	175.10777167684984	6.137053	0	16516647.0	2227625.0	9022685.875	7329251.375	10317372.0	0	10311549.0	10509881.375	9971803.25	12392722.625
1431	366.2135479564909	6.137416	0	7190892.625	5088181.0	8581217.25	8590599.75	8099427.875	0	8235729.375	8213097.875	7661490.25	8351820.0
1432	740.3437031720553	6.1375833	0	4438086.0	5414263.0	8892050.5	9128182.5	7473977.5	0	7289685.875	7011254.0	7663993.375	7967363.25
1433	662.3259941832836	6.137709	0	12951583.5	9197002.0	4010524.625	4246273.325	4167429.675	0	5999409.5	6688701.675	6397575.2	6290124.75
1434	356.12513313601426	6.1424456	0	1600102.5750000002	5701469.0	9177682.375	8617471.375	7395145.625	0	6795978.8	6461990.525	6608803.375	6923629.25
1435	161.09212545386274	6.142748	0	11645872.25	20599782.0	9099345.75	9641802.5	9442596.875	0	9073533.5	10115051.25	9930651.625	10710381.0
1436	647.3252367188253	6.147999	0	6379930.875	6065417.0	6267571.0	7119686.875	6408377.625	0	6407222.5	6629043.125	6737435.75	6401865.0
1437	341.1820833786277	6.1480527	0	68138225.0	0.0	19997498.0	20595545.0	30199604.0	0	43850391.5	34259988.0	29857245.5	30963247.0
1438	486.2562835826545	6.122893	0	1370961.7	1445209.1	2467423.075	3113108.575	2422536.075	0	1988419.45	2672135.5	1863067.625	2850406.85
1439	543.2778074640229	6.15282	0	6096785.625	4864867.0	9194551.75	10241216.5	9650464.75	0	8684750.25	9083391.5	8796546.5	8618330.375
1440	164.02942652606006	6.1550426	0	1733782.875	4306729.0	6813536.375	6848830.625	6263404.625	0	5884050.5	5552022.5	4794964.25	5428517.25
1441	465.2823347415324	6.1564894	0	7955926.5	9993339.0	17089002.5	18311339.75	17289833.5	0	14418448.125	15324134.25	15656342.5	15247177.375
1442	545.2936738120499	6.158194	0	82001413.0	102321080.0	3160450.2	2789266.4	3826045.8	0	25996898.375	22505455.75	21678288.25	21596533.025
1443	567.275643499085	6.160153	0	50643425.5	84746850.0	2971014.6	2582481.0250000004	3631371.675	0	20533134.6	13783639.975	13980213.05	11531305.175
1444	120.06570384777407	6.160572	0	9988130.3	34392776.0	41247631.5	38895816.0	42676976.5	0	34012257.5	32607736.25	32090529.0	34098031.55
